ID,Name,Age,Marks
972,Amanda Hall,25,66
973,Janice Miller,21,90
974,Darrell Simmons,21,99
975,Brian Palmer,21,72
976,Devin Gibson,30,97
977,Lauren Thomas,30,64
978,Paula Quinn,29,97
979,Paul Newman,29,52
980,Samantha Brown,19,60
981,Lee Martin,24,96
982,Joe Roberts,23,75
983,Brandon Jordan,25,89
984,Theodore Mitchell,29,96
985,Manuel Manning,27,71
986,Sandra Poole,28,59
987,Melissa Bryant,28,50
988,Jason Lindsey,30,73
989,Jennifer Riddle,21,72
990,Cindy Jacobs,28,75
991,Lindsey Bowman,27,100
992,Nancy Martin,20,61
993,April Lopez,22,87
994,Dawn Zuniga,29,83
995,Lisa Thomas,20,76
996,Lindsay Becker,25,79
997,Samantha Ryan,22,82
998,Victor Harris,25,79
999,Latasha Martin,27,74
1000,Shelby Anderson,27,59
